case_name,geom_name,split,alt_kft,Re,M_inf,alpha_deg,beta_deg,CL,CD,CMy,B1,B2,B3,C1,C2,C3,C4,S1,S2,S3
case_0000,geom_000,train,16.94,13280000.0,0.138,0.7674,0.0,0.043404148344,0.004711039527,-0.027702547605,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0002,geom_000,train,4.115,9325000.0,0.4318,10.01,0.0,0.49576609898,0.031808900982,-0.313230386652,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0003,geom_000,train,36.08,11960000.0,0.2187,11.76,0.0,0.55621856287,0.039077170103,-0.350693775697,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0004,geom_000,train,20.93,2360000.0,0.1428,-9.075,0.0,-0.408221752457,0.024445862947,0.253907554833,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0006,geom_000,train,32.07,15770000.0,0.4592,-3.184,0.0,-0.146772931427,0.006823716682,0.091058771143,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0007,geom_000,train,13.6,13440000.0,0.3201,19.92,0.0,0.94727476283,0.107331701952,-0.600001784471,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0008,geom_000,train,24.35,29750000.0,0.2943,16.17,0.0,0.769688431413,0.071041075577,-0.486778414912,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0009,geom_000,train,10.08,22110000.0,0.2724,2.749,0.0,0.136919109472,0.006264762146,-0.086164951167,117.4,69.97,532.0,1000.0,847.2,184.3,85.55,41.32,58.91,26.57
case_0010,geom_001,train,15.23,5863000.0,0.1222,-9.764,0.0,-0.510574906714,0.028379102994,0.420544225357,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
case_0011,geom_001,train,28.08,23100000.0,0.3878,3.826,0.0,0.226710341488,0.008858783326,-0.190552613285,166.0,53.31,614.4,1000.0,565.4,224.9,78.19,59.52,42.2,25.87
